Dates,Open,Close,Volume
29-11-2022 13:05,2772.15,2774.15,6037
29-11-2022 13:00,2773.95,2773.95,2478
29-11-2022 12:55,2773.45,2773.9,5253
29-11-2022 12:50,2773,2771.25,2011
29-11-2022 12:45,2773,2772,3327
29-11-2022 12:40,2773,2773,2027
29-11-2022 12:35,2773.95,2773.05,1811
29-11-2022 12:30,2772.95,2773.95,2160
29-11-2022 12:25,2771.95,2772.95,3108
29-11-2022 12:20,2772,2771.95,2587
29-11-2022 12:15,2772,2770.6,3118
29-11-2022 12:10,2773,2772,3306
29-11-2022 12:05,2773.4,2772.55,2222
29-11-2022 12:00,2768.3,2773.25,4132
